id,created_at,text,,
8.62423E+17,5/10/17 21:45,"b""RT @phil200269: Comey Was A Corrupt Obama Loyalist Who Enabled Hillary's Criminality.\n\nHis Termination Had Nothing To Do With Russia Invest\xe2\x80\xa6""",[],"[{'screen_name': 'phil200269', 'name': 'Phil', 'id': 1936536769, 'id_str': '1936536769', 'indices': [3, 14]}]"
8.62423E+17,5/10/17 21:45,"b""@VP Ain't doing jack shit about MAGA""",[],"[{'screen_name': 'VP', 'name': 'Vice President Pence', 'id': 818910970567344128, 'id_str': '818910970567344128', 'indices': [0, 3]}]"
8.62423E+17,5/10/17 21:45,b'RT @LouDobbs: #MAGA #TrumpTrain #Dobbs https://t.co/nFfOBtgCef',"[{'text': 'MAGA', 'indices': [14, 19]}, {'text': 'TrumpTrain', 'indices': [20, 31]}, {'text': 'Dobbs', 'indices': [32, 38]}]","[{'screen_name': 'LouDobbs', 'name': 'Lou Dobbs', 'id': 26487169, 'id_str': '26487169', 'indices': [3, 12]}]"
8.62423E+17,5/10/17 21:45,b'RT @Dbargen: Report: Trump Has Already Rolled Back $3.7 Billion In Obama-Era Regulations @AndrewCFollett #MAGA #KAG #TCOT #LNYHBT https://t\xe2\x80\xa6',"[{'text': 'MAGA', 'indices': [105, 110]}, {'text': 'KAG', 'indices': [111, 115]}, {'text': 'TCOT', 'indices': [116, 121]}, {'text': 'LNYHBT', 'indices': [122, 129]}]","[{'screen_name': 'Dbargen', 'name': 'Dale Less Deplorable', 'id': 23195603, 'id_str': '23195603', 'indices': [3, 11]}, {'screen_name': 'AndrewCFollett', 'name': 'Andrew Follett', 'id': 2996982741, 'id_str': '2996982741', 'indices': [89, 104]}]"
8.62423E+17,5/10/17 21:45,b'RT @bfraser747: #Comey is gone &amp; there will be a new #Trump appointment #FBI director &amp; I hope they will take #Corruption seriously. \n\n#Loc\xe2\x80\xa6',"[{'text': 'Comey', 'indices': [16, 22]}, {'text': 'Trump', 'indices': [57, 63]}, {'text': 'FBI', 'indices': [76, 80]}, {'text': 'Corruption', 'indices': [118, 129]}]","[{'screen_name': 'bfraser747', 'name': 'BRIAN FRASER', 'id': 274891222, 'id_str': '274891222', 'indices': [3, 14]}]"
8.62423E+17,5/10/17 21:45,b'@TaylourTr #MAGA https://t.co/aHuIQBqONe',"[{'text': 'MAGA', 'indices': [11, 16]}]","[{'screen_name': 'TaylourTr', 'name': 'Taylour TR', 'id': 819334310314577924, 'id_str': '819334310314577924', 'indices': [0, 10]}]"
8.62423E+17,5/10/17 21:45,b'RT @McFaul: This really happened? Embarrassing. America first? #Maga ? Putin would never do that. https://t.co/zg3bDwPMrW',"[{'text': 'Maga', 'indices': [63, 68]}]","[{'screen_name': 'McFaul', 'name': 'Michael McFaul', 'id': 454099919, 'id_str': '454099919', 'indices': [3, 10]}]"
8.62423E+17,5/10/17 21:45,b'RT @RodStryker: This man is a TRUE PATRIOT! Every American needs to RISE UP against Liberal/Islam indoctrination in our schools. #MAGA\n@Tal\xe2\x80\xa6',"[{'text': 'MAGA', 'indices': [129, 134]}]","[{'screen_name': 'RodStryker', 'name': 'Maverick', 'id': 58007320, 'id_str': '58007320', 'indices': [3, 14]}]"
8.62423E+17,5/10/17 21:45,b'#Russians no longer need to infiltrate the #USgov. They now have an open #allaccess invitation. Thanks .@realDonaldTrump #MAGA',"[{'text': 'Russians', 'indices': [0, 9]}, {'text': 'USgov', 'indices': [43, 49]}, {'text': 'allaccess', 'indices': [73, 83]}, {'text': 'MAGA', 'indices': [121, 126]}]","[{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [104, 120]}]"
8.62423E+17,5/10/17 21:45,b'RT @AD_WHITMAN: Sarah Huckabee Sanders called out Democrats for hypocrisy.\n#ComeyFiring\n\n#MAGA\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n https://t.co/jIZjUz8NsI',"[{'text': 'ComeyFiring', 'indices': [75, 87]}, {'text': 'MAGA', 'indices': [89, 94]}]","[{'screen_name': 'AD_WHITMAN', 'name': '1stAmend UNLEASHED', 'id': 735633664696946689, 'id_str': '735633664696946689', 'indices': [3, 14]}]"
8.62423E+17,5/10/17 21:45,b'RT @GrrrGraphics: Very happy with 73.3 followers!  can we make it 75k? \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\xa4\xa0\n\n#StayTooned #BenGarrison #Cartoons  with exta spicy #MAGA! http\xe2\x80\xa6',"[{'text': 'StayTooned', 'indices': [76, 87]}, {'text': 'BenGarrison', 'indices': [88, 100]}, {'text': 'Cartoons', 'indices': [101, 110]}, {'text': 'MAGA', 'indices': [128, 133]}]","[{'screen_name': 'GrrrGraphics', 'name': 'BenGarrison Cartoons', 'id': 127941629, 'id_str': '127941629', 'indices': [3, 16]}]"
8.62423E+17,5/10/17 21:45,"b""RT @buzzcutbarbie: @CCOT_MAGA @LindaLovelacee @kaybetooshort BeCaUse ShE'S wHiTe? REpUbLiCan? BoTh? https://t.co/pUy8PYFd1i""",[],"[{'screen_name': 'buzzcutbarbie', 'name': 'name cannot be blank', 'id': 4831230831, 'id_str': '4831230831', 'indices': [3, 17]}, {'screen_name': 'CCOT_MAGA', 'name': 'Conservative _Ÿ‡º_Ÿ‡¸', 'id': 506869952, 'id_str': '506869952', 'indices': [19, 29]}, {'screen_name': 'LindaLovelacee', 'name': 'comet', 'id': 433055692, 'id_str': '433055692', 'indices': [30, 45]}, {'screen_name': 'kaybetooshort', 'name': 'Issa Midget_ŸŒ™', 'id': 770084318060380161, 'id_str': '770084318060380161', 'indices': [46, 60]}]"
8.62423E+17,5/10/17 21:45,"b'""For Profit Baby Jails"" u had me at #Profit\nI\'m #MAGA -ing so hard right now y\'all https://t.co/kfeTC5ZV8B'","[{'text': 'Profit', 'indices': [36, 43]}, {'text': 'MAGA', 'indices': [48, 53]}]",[]
